kategori;orijinal_pdf_yolu;hedef_txt_yolu;sayfa_sayisi;karakter_sayisi
sosyal_bilimler;data\raw\sosyal_bilimler\s50.pdf;data\processed\stage1_extracted\sosyal_bilimler\s50.txt;5;14065
tip;data\raw\tip\t01.pdf;data\processed\stage1_extracted\tip\t01.txt;4;16101
tip;data\raw\tip\t02.pdf;data\processed\stage1_extracted\tip\t02.txt;10;47259
tip;data\raw\tip\t03.pdf;data\processed\stage1_extracted\tip\t03.txt;12;45724
tip;data\raw\tip\t04.pdf;data\processed\stage1_extracted\tip\t04.txt;7;33397
tip;data\raw\tip\t05.pdf;data\processed\stage1_extracted\tip\t05.txt;6;23176
tip;data\raw\tip\t06.pdf;data\processed\stage1_extracted\tip\t06.txt;16;58970
tip;data\raw\tip\t07.pdf;data\processed\stage1_extracted\tip\t07.txt;14;54721
tip;data\raw\tip\t08.pdf;data\processed\stage1_extracted\tip\t08.txt;24;60168
tip;data\raw\tip\t09.pdf;data\processed\stage1_extracted\tip\t09.txt;17;77938
tip;data\raw\tip\t10.pdf;data\processed\stage1_extracted\tip\t10.txt;7;22072
tip;data\raw\tip\t11.pdf;data\processed\stage1_extracted\tip\t11.txt;7;27385
tip;data\raw\tip\t12.pdf;data\processed\stage1_extracted\tip\t12.txt;5;21196
tip;data\raw\tip\t13.pdf;data\processed\stage1_extracted\tip\t13.txt;7;21573
tip;data\raw\tip\t14.pdf;data\processed\stage1_extracted\tip\t14.txt;8;18664
tip;data\raw\tip\t15.pdf;data\processed\stage1_extracted\tip\t15.txt;7;21014
tip;data\raw\tip\t16.pdf;data\processed\stage1_extracted\tip\t16.txt;5;15830
tip;data\raw\tip\t17.pdf;data\processed\stage1_extracted\tip\t17.txt;5;26738
tip;data\raw\tip\t18.pdf;data\processed\stage1_extracted\tip\t18.txt;6;22862
tip;data\raw\tip\t19.pdf;data\processed\stage1_extracted\tip\t19.txt;10;43546
tip;data\raw\tip\t20.pdf;data\processed\stage1_extracted\tip\t20.txt;4;17215
tip;data\raw\tip\t21.pdf;data\processed\stage1_extracted\tip\t21.txt;6;27679
tip;data\raw\tip\t22.pdf;data\processed\stage1_extracted\tip\t22.txt;8;30173
tip;data\raw\tip\t23.pdf;data\processed\stage1_extracted\tip\t23.txt;5;15761
tip;data\raw\tip\t24.pdf;data\processed\stage1_extracted\tip\t24.txt;4;17934
tip;data\raw\tip\t25.pdf;data\processed\stage1_extracted\tip\t25.txt;7;24754
tip;data\raw\tip\t26.pdf;data\processed\stage1_extracted\tip\t26.txt;6;27152
tip;data\raw\tip\t27.pdf;data\processed\stage1_extracted\tip\t27.txt;6;23498
tip;data\raw\tip\t28.pdf;data\processed\stage1_extracted\tip\t28.txt;9;40148
tip;data\raw\tip\t29.pdf;data\processed\stage1_extracted\tip\t29.txt;7;25022
tip;data\raw\tip\t30.pdf;data\processed\stage1_extracted\tip\t30.txt;4;13769
tip;data\raw\tip\t31.pdf;data\processed\stage1_extracted\tip\t31.txt;3;9867
tip;data\raw\tip\t32.pdf;data\processed\stage1_extracted\tip\t32.txt;6;19198
tip;data\raw\tip\t33.pdf;data\processed\stage1_extracted\tip\t33.txt;5;26129
tip;data\raw\tip\t34.pdf;data\processed\stage1_extracted\tip\t34.txt;10;34805
tip;data\raw\tip\t35.pdf;data\processed\stage1_extracted\tip\t35.txt;5;17847
tip;data\raw\tip\t36.pdf;data\processed\stage1_extracted\tip\t36.txt;3;13416
tip;data\raw\tip\t37.pdf;data\processed\stage1_extracted\tip\t37.txt;6;21531
tip;data\raw\tip\t38.pdf;data\processed\stage1_extracted\tip\t38.txt;4;18942
